rule_id,title,alerts,max_severity,hosts,techniques,profiles,fp_per_1000_hosts_per_day
TOTAL,,226,,20,host_days=1.6667,agents=20,135598.67
(no-rule-id),[Sigma] Shell History Credential Search,10,5,6,T1552.003,dev-machine|macbook,5999.94
(no-rule-id),[Sigma] 疑わしいPowerShell実行,10,8,10,T1059.001,it-admin|office-pc,5999.94
(no-rule-id),[HEURISTIC] データ持ち出しの疑い: 外部 13.107.136.9 へ10分内に大量のデータを送信,8,7,8,T1048,office-pc,4799.95
(no-rule-id),[KILLCHAIN] 多段攻撃の疑い: 複数段のATT&CK戦術を観測,7,8,6,TA0000,dev-machine|it-admin|macbook,4199.96
6dd0a78d-89af-4d07-9237-bb75bcafe780,[BEHAVIORAL] Linux マルウェア投下キルチェーン,6,8,3,T1105,dev-machine,3599.96
(no-rule-id),[Sigma] Data Exfiltration via curl/wget Upload (Linux),6,7,3,T1048,dev-machine,3599.96
(no-rule-id),[Sigma] Exfiltration to Cloud Storage via Native CLI,6,5,6,T1567.002,dev-machine|macbook,3599.96
(no-rule-id),[Sigma] Unix System Shutdown or Reboot,6,3,6,T1529,dev-machine|macbook,3599.96
afc7182d-fa71-455b-bd6e-c23daa81a658,[BEHAVIORAL] データ収集→持ち出しキルチェーン,5,7,3,T1560,dev-machine,2999.97
(no-rule-id),[Sigma] Remote Access via VNC Server or Client,5,5,3,T1021.005,macbook,2999.97
687ff448-9f11-4c33-a817-bf71b1e87741,[BEHAVIORAL] RDPブルートフォース検知,4,8,2,T1110.001,it-admin,2399.98
08e533a4-07c1-4484-9c55-a45ee95588a7,[BEHAVIORAL] RDP接続＋即時偵察キルチェーン（不正リモートアクセスの直後行動）,4,7,2,T1133,it-admin,2399.98
dd75fc06-7323-4dce-a036-302193988464,[BEHAVIORAL] 内部ネットワーク偵察（横展開）,4,7,2,T1018,it-admin,2399.98
(no-rule-id),[HEURISTIC] 横展開の疑い: 単一ホストが2分内に多数の異なるホストへリモートサービス接続,4,7,4,T1021,file-server|it-admin,2399.98
(no-rule-id),[Sigma] WMI Remote Command Execution,4,8,2,T1021.006,it-admin,2399.98
(no-rule-id),[HEURISTIC] ランサムウェアの疑い: プロセス 'xcodebuild' が30秒内に多数のファイルを破壊的操作,3,8,3,T1486,macbook,1799.98
(no-rule-id),[RANSOMWARE-CORRELATION] 暗号化直前の疑い: 2系統の前兆シグナルを併発,3,9,3,T1486,dev-machine,1799.98
(no-rule-id),[Sigma] Container Administration Command Execution,3,5,3,T1609,dev-machine,1799.98
(no-rule-id),[Sigma] Container Image Build on Host,3,5,3,T1612,dev-machine,1799.98
(no-rule-id),[Sigma] Container and Orchestration Discovery,3,5,3,T1613,dev-machine,1799.98
(no-rule-id),[Sigma] Exfiltration Over Alternative Protocol (DB),3,6,3,T1048,macbook,1799.98
(no-rule-id),[Sigma] Linux Shell Init File Modification (FIM),3,5,3,T1546.004,dev-machine,1799.98
(no-rule-id),[Sigma] Private Key File Access (SSH/PPK),3,5,3,T1552.004,dev-machine,1799.98
